5,500,TempHumi,Temperature And Humidity Sensor,B4,"[26 , 49]",52.187.125.59,1883,Topic/TempHumi,BKvm,Hcmut_CSE_2020,
5,500,id0,Real temperature and humidity sensor,A4,"[26 , 49]",13.76.250.158,1883,Topic/TempHumi,BKvm2,Hcmut_CSE_2020,
